rebalance_date,ticker,company,country,zone,sector,rank,score,base_weight,final_weight,breadth_exposure,vol_scale,gross_exposure,turnover
2007-03-30,BKNG,BKNG,US,US,,1,0.6702197036418557,0.1148750007004688,0.1148750007004688,,,,0.5
2007-03-30,ICE,ICE,US,US,,2,0.5603268679133212,0.0960394763004912,0.0960394763004912,,,,0.5
2007-03-30,NTDOY,NTDOY,JP,JP,,3,0.5376812378612188,0.0921580374917511,0.0921580374917511,,,,0.5
2007-03-30,BASFY,BASFY,EU,EU,,4,0.4163381204978524,0.0713599460355164,0.0713599460355164,,,,0.5
2007-03-30,BAYRY,BAYRY,EU,EU,,5,0.3068654938352502,0.0525964450578301,0.0525964450578301,,,,0.5
2007-03-30,IT,IT,US,US,,6,0.2985903155991208,0.0511780876139853,0.0511780876139853,,,,0.5
2007-03-30,PCAR,PCAR,US,US,,7,0.2503097948030063,0.0429028536419976,0.0429028536419976,,,,0.5
2007-03-30,NGG,NGG,EU,EU,,8,0.2099468748676616,0.0359846887019776,0.0359846887019776,,,,0.5
2007-03-30,EQIX,EQIX,US,US,,9,0.197170589024349,0.0337948458232546,0.0337948458232546,,,,0.5
2007-03-30,VMC,VMC,US,US,,10,0.1901179877154428,0.0325860368671788,0.0325860368671788,,,,0.5
2007-03-30,MITSY,MITSY,,,,11,0.1901140245892302,0.032585357591228,0.032585357591228,,,,0.5
2007-03-30,MTD,MTD,US,US,,13,0.1786231251810806,0.0306158286884108,0.0306158286884108,,,,0.5
2007-03-30,IFNNY,IFNNY,EU,EU,,14,0.1720492607127766,0.0294890747578747,0.0294890747578747,,,,0.5
2007-03-30,AEP,AEP,US,US,,15,0.163179684542203,0.0279688380902999,0.0279688380902999,,,,0.5
2007-03-30,SYK,SYK,US,US,,16,0.1619699857418449,0.027761496900861,0.027761496900861,,,,0.5
2007-03-30,CTRA,CTRA,US,US,,17,0.155422361981097,0.0266392406018963,0.0266392406018963,,,,0.5
2007-03-30,SSUMY,SSUMY,,,,18,0.140702549497048,0.0241162791607037,0.0241162791607037,,,,0.5
2007-03-30,NVO,NVO,EU,EU,,19,0.1282140650841659,0.0219757651652449,0.0219757651652449,,,,0.5
2007-03-30,AAPL,AAPL,US,US,,20,0.1227117767596435,0.0210326783361065,0.0210326783361065,,,,0.5
2007-03-30,EDPFY,EDPFY,,,,21,0.1224592880514596,0.0209894020188454,0.0209894020188454,,,,0.5
2007-03-30,DE,DE,US,US,,22,0.1224318866334888,0.0209847054426458,0.0209847054426458,,,,0.5
2007-03-30,ABBNY,ABB LTD-SPON ADR,,OTHER,Industrials,23,0.1216333121570301,0.0208478305596126,0.0208478305596126,,,,0.5
2007-03-30,ON,ON,US,US,,24,0.1169453146208533,0.0200443123739701,0.0200443123739701,,,,0.5
